YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS,,,,,,,,,,,,,,,
2016,3476.5028,734.5954,206.9581,1196.6817,14860.64115,28985.54818,9634.313396,1029.220145,3475.8174,1040.749609,16296.4,3075.9,,,,,,,,,,,,,,,
2017,3446.942,727.652,205.823,1213.235,14988.42,26999.36,9776.152,1009.748,3437.814,1052.005,17628.61,3018.452,,,,,,,,,,,,,,,
2018,3482.882,728.923,204.075,1237.787,15127.31,27379.26,9868.73,1052.7,3500.204,1030.267,18797.76,3061.17,,,,,,,,,,,,,,,
2019,3609.562,731.353,204.943,1265.642,15245.01,27723.51,9908.329,1034.34,3603.605,987.865,18763.3,3136.037,,,,,,,,,,,,,,,
2020,3848.462,743.822,208.8,1294.312,15484.08,28081.05,10125.1,1076.512,3657.93,946.19,19131.21,3222.551,,,,,,,,,,,,,,,
2021,3869.562,751.558,206.5,1308.395,15398.46,28477.62,10260.27,1087.277,3693.707,887.101,19543.03,3232.189,,,,,,,,,,,,,,,
2022,3890.75,734.551,206.422,1304.872,15413.12,29123.95,10330.71,1098.189,3773.332,886.898,20237.18,3164.656,,,,,,,,,,,,,,,
2023,3909.87,729.822,205.489,1300.881,15525.72,29859.06,10408.25,1108.888,3859.977,882.758,20979.59,3091.002,,,,,,,,,,,,,,,
2024,3930.935,730.252,204.78,1297.729,15600.06,30488.82,10541.9,1121.465,3939.576,879.409,21750.5,3024.374,,,,,,,,,,,,,,,
2025,3953.026,730.873,204.252,1308.776,15685.61,31069.03,10621.6,1133.07,4015.102,876.793,22534.46,3041.456,,,,,,,,,,,,,,,
2026,3974.861,731.231,203.637,1319.462,15753.16,31727.92,10740.67,1144.399,4089.826,874.391,23321.71,3054.184,,,,,,,,,,,,,,,
2027,3995.899,731.346,202.957,1329.947,15827.69,32432.6,10860.65,1155.657,4164.323,871.392,24091.27,3064.877,,,,,,,,,,,,,,,
2028,4016.432,731.326,202.208,1340.136,15906.69,33155.16,11018.01,1166.915,4240.672,867.859,24854.46,3075.47,,,,,,,,,,,,,,,
2029,4037.086,731.306,201.413,1350.322,15982.87,33881.89,11116.29,1179.062,4317.23,864.353,25621.69,3086.955,,,,,,,,,,,,,,,
2030,4057.628,731.248,200.578,1360.397,16060.72,34607.46,11252.19,1191.348,4393.944,860.758,26391.48,3097.842,,,,,,,,,,,,,,,
2031,4077.741,731.077,199.703,1370.482,16084.91,35328.11,11393.13,1203.449,4470.471,857.154,27160.7,3108.067,,,,,,,,,,,,,,,
2032,4097.532,730.3459,199.5033,1380.459,16108.12,36060.82,11381.74,1216.003,4466,853.395,27133.54,3118.423,,,,,,,,,,,,,,,
2033,4117.357,729.6156,199.3038,1390.329,16121.26,36794.61,11370.36,1228.855,4461.535,849.521,27106.41,3128.782,,,,,,,,,,,,,,,
2034,4137.155,728.886,199.1045,1400.171,16135.43,37529.06,11358.99,1242.287,4457.073,845.675,27079.3,3139.316,,,,,,,,,,,,,,,
2035,4156.793,728.1571,198.9054,1409.888,16142.82,38270.62,11347.63,1256.027,4452.616,841.6633,27052.22,3149.836,,,,,,,,,,,,,,,
2036,4176.381,727.429,198.7065,1419.53,16145.84,39015.61,11336.28,1270.222,4448.164,837.5849,27025.17,3160.483,,,,,,,,,,,,,,,
2037,4195.856,726.7015,198.5078,1429.079,16144.5,39764.86,11324.95,1284.859,4443.715,833.4109,26998.14,3171.201,,,,,,,,,,,,,,,1?059?849.98
2038,4215.295,725.9749,198.3093,1438.55,16138.34,40516.47,11313.62,1299.926,4439.271,829.1702,26971.14,3181.99,,,,,,,,,,,,,,,
2039,4234.584,725.2489,198.111,1447.926,16128.25,41274.13,11302.31,1315.442,4434.832,824.8215,26944.17,3192.871,,,,,,,,,,,,,,,
2040,4253.79,724.5237,197.9129,1457.202,16111.97,42035.81,11291,1331.376,4430.397,820.3652,26917.23,3203.815,,,,,,,,,,,,,,,
2041,4273.773,723.7991,197.715,1466.399,16091.87,42800.91,11279.71,1347.797,4425.967,817.9384,26890.31,3214.864,,,,,,,,,,,,,,,
2042,4293.7,723.0753,197.5172,1475.494,16066.44,43570.96,11268.43,1364.652,4421.541,815.4767,26863.42,3225.975,,,,,,,,,,,,,,,
2043,4313.571,722.3522,197.3197,1484.495,16035.89,44345.55,11257.17,1381.971,4417.12,812.9815,26836.56,3237.178,,,,,,,,,,,,,,,
2044,4333.36,721.6299,197.1224,1493.399,16000.19,45124.77,11245.91,1399.757,4412.703,810.4381,26809.72,3248.463,,,,,,,,,,,,,,,
2045,4353.096,720.9083,196.9253,1502.207,15959.22,45908.13,11234.66,1418.015,4408.29,807.8621,26782.91,3259.831,,,,,,,,,,,,,,,
2046,4372.759,720.1874,196.7283,1510.914,15913.1,46696.6,11223.43,1436.751,4403.882,805.2457,26756.13,3271.286,,,,,,,,,,,,,,,
2047,4392.351,719.4672,196.5316,1519.519,15861.23,47489.9,11212.2,1455.96,4399.478,802.5891,26729.37,3282.823,,,,,,,,,,,,,,,
2048,4411.868,718.7477,196.3351,1528.024,15804.03,48287.85,11200.99,1475.664,4395.079,799.891,26702.64,3294.45,,,,,,,,,,,,,,,
2049,4431.311,718.0289,196.1387,1536.424,15741.15,49090.84,11189.79,1495.857,4390.684,797.1528,26675.94,3306.161,,,,,,,,,,,,,,,
2050,4450.678,717.3109,195.9426,1544.719,15672.53,49898.91,11178.6,1516.546,4386.293,794.3746,26649.27,3317.96,,,,,,,,,,,,,,,
2051,4471.299,716.5936,195.7467,1552.908,15598.07,50712.16,11167.42,1537.738,4381.907,791.5525,26622.62,3329.848,,,,,,,,,,,,,,,
2052,4491.896,715.877,195.5509,1560.988,15517.67,51530.5,11156.26,1559.439,4377.525,788.6891,26595.99,3341.824,,,,,,,,,,,,,,,
2053,4512.467,715.1611,195.3554,1568.959,15431.29,52354.22,11145.1,1581.655,4373.147,785.7831,26569.4,3353.89,,,,,,,,,,,,,,,
2054,4533.015,714.446,195.16,1576.818,15338.68,53183.39,11133.95,1604.388,4368.774,782.8339,26542.83,3366.045,,,,,,,,,,,,,,,
2055,4553.536,713.7316,194.9649,1584.565,15239.87,54018,11122.82,1627.647,4364.406,779.8405,26516.29,3378.293,,,,,,,,,,,,,,,
2056,4574.03,713.0178,194.7699,1592.198,15134.69,54858.21,11111.7,1651.438,4360.042,776.8029,26489.77,3390.632,,,,,,,,,,,,,,,
2057,4594.498,712.3048,194.5751,1599.714,15023.04,55704.13,11100.59,1675.764,4355.682,773.7211,26463.28,3403.063,,,,,,,,,,,,,,,
2058,4614.938,711.5925,194.3806,1607.113,14904.8,56555.86,11089.49,1700.633,4351.326,770.5934,26436.82,3415.588,,,,,,,,,,,,,,,
2059,4635.35,710.8809,194.1862,1614.393,14779.85,57413.45,11078.4,1726.051,4346.975,767.4202,26410.38,3428.207,,,,,,,,,,,,,,,
2060,4655.732,710.17,193.992,1621.552,14648.11,58277.04,11067.32,1752.023,4342.627,764.2006,26383.97,3440.92,,,,,,,,,,,,,,,
2061,4676.085,709.4599,193.798,1628.588,14509.41,59146.76,11056.25,1778.555,4338.285,760.9343,26357.58,3453.729,,,,,,,,,,,,,,,
2062,4696.407,708.7504,193.6042,1635.5,14363.66,60022.67,11045.19,1805.655,4333.946,757.6204,26331.23,3466.635,,,,,,,,,,,,,,,
2063,4716.699,708.0417,193.4106,1642.286,14210.73,60904.9,11034.15,1833.328,4329.612,754.2586,26304.89,3479.637,,,,,,,,,,,,,,,
2064,4736.958,707.3336,193.2172,1648.944,14050.5,61793.57,11023.11,1861.579,4325.283,750.8484,26278.59,3492.737,,,,,,,,,,,,,,,
2065,4757.186,706.6263,193.024,1655.473,13882.83,62688.78,11012.09,1890.416,4320.958,747.3892,26252.31,3505.936,,,,,,,,,,,,,,,
2066,4777.38,705.9197,192.8309,1661.871,13707.6,63590.64,11001.08,1919.845,4316.637,743.8802,26226.06,3519.235,,,,,,,,,,,,,,,
2067,4797.54,705.2137,192.6381,1668.136,13524.67,64499.29,10990.08,1949.871,4312.32,740.3212,26199.83,3532.634,,,,,,,,,,,,,,,
2068,4817.666,704.5085,192.4455,1674.265,13333.92,65414.82,10979.09,1980.504,4308.008,736.7114,26173.63,3546.134,,,,,,,,,,,,,,,
2069,4837.756,703.804,192.253,1680.258,13135.2,66337.38,10968.11,2011.748,4303.7,733.0502,26147.46,3559.736,,,,,,,,,,,,,,,
2070,4857.81,703.1002,192.0608,1686.112,12928.39,67267.07,10957.14,2043.609,4299.396,729.3371,26121.31,3573.441,,,,,,,,,,,,,,,
2071,4877.827,702.3971,191.8687,1691.825,12713.32,68204.02,10946.18,2076.095,4295.097,725.5715,26095.19,3587.249,,,,,,,,,,,,,,,
2072,4897.807,701.6947,191.6769,1697.396,12489.87,69148.38,10935.24,2109.214,4290.802,721.7527,26069.1,3601.162,,,,,,,,,,,,,,,
2073,4917.748,700.993,191.4852,1702.823,12257.89,70100.26,10924.3,2142.971,4286.511,717.8802,26043.03,3615.18,,,,,,,,,,,,,,,
2074,4937.649,700.292,191.2937,1708.103,12017.23,71059.8,10913.38,2177.373,4282.224,713.9534,26016.98,3629.304,,,,,,,,,,,,,,,
2075,4957.51,699.5917,191.1024,1713.234,11767.73,72027.13,10902.46,2212.428,4277.942,709.9716,25990.97,3643.536,,,,,,,,,,,,,,,
2076,4977.331,698.8921,190.9113,1718.214,11509.25,73002.4,10891.56,2248.143,4273.664,705.9342,25964.98,3657.875,,,,,,,,,,,,,,,
2077,4997.109,698.1932,190.7204,1723.042,11241.62,73985.73,10880.67,2284.524,4269.391,701.8405,25939.01,3672.323,,,,,,,,,,,,,,,
2078,5016.844,697.495,190.5297,1727.716,10964.7,74977.29,10869.79,2321.58,4265.121,697.69,25913.07,3686.881,,,,,,,,,,,,,,,
2079,5036.536,696.7975,190.3391,1732.232,10678.32,75977.2,10858.92,2359.317,4260.856,693.4819,25887.16,3701.549,,,,,,,,,,,,,,,
2080,5056.184,696.1007,190.1488,1736.59,10382.3,76985.63,10848.06,2397.744,4256.595,689.2156,25861.27,3716.329,,,,,,,,,,,,,,,
